Native HTML rebuild visual QA - 2026-09-17
Day 1 slide 01: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 02: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 03: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 04: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 05: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 06: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 07: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 08: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 09: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 10: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 11: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 12: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 13: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 14: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 15: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 16: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 17: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 18: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 19: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 20: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 21: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 22: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 23: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 24: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 25: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 26: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 27: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 28: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 29: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 30: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 31: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 32: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 33: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 34: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
